id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1666499668111654912,"https://twitter.com/twpuyang/statuses/1666499668111654912","https://twitter.com/twpuyang/statuses/1666499668111654912","twpuyang","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 13:37:37","Twitter for Android",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,2617488794,"https://pbs.twimg.com/profile_images/844481660796071936/7HsjGsC4_normal.jpg",14547,500,220,"2014-07-11 10:44:19","- Duduk sama rendah, Berdiri kalah tinggi.  - Malu bertanya tidak bisa menjawab, Banyak bertanya bodoh!.  - Berkata nyata tidak setengah nyata atau berarti dua.","Jakarta Timur, DKI Jakarta","",
2,1666491205549699072,"https://twitter.com/tuturanee/statuses/1666491205549699072","https://twitter.com/tuturanee/statuses/1666491205549699072","tuturanee","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 13:03:59","Twitter for Android",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,809343766288945152,"https://pbs.twimg.com/profile_images/1527985219659128832/rIStOJeN_normal.jpg",14555,220,148,"2016-12-15 05:26:05","Learn - unlearn - relearn 🔄🌾","Bumi Langit","",
3,1666484803057913856,"https://twitter.com/tianraditya/statuses/1666484803057913856","https://twitter.com/tianraditya/statuses/1666484803057913856","tianraditya","RT @GessyHGanie: “Kalau bodoh masih bisa diajarkan, kalau bebal itu yang susah” (Dr.Lois) @NIAS2013 @alvinrio_1501 @_Banyoe @mas_prasetiyo…","“Kalau bodoh masih bisa diajarkan, kalau bebal itu yang susah” (Dr.Lois) @NIAS2013 @alvinrio_1501 @_Banyoe @mas_prasetiyo @blogdokter @drpriono1 @dr_koko28 @itsamareguzel @Aku08__ @LtdAkbar @Storiesofinjury @Ilen_Srg @t3luuur @TedInvestigasi @katzen_jammer @NomadPanda888 @PBIDI https://t.co/a7YWG2rR1Q https://t.co/nlJec7b1n9","2023-06-07 12:38:33","Twitter for Android",0,10,"in","","quote","",0,0,"GessyHGanie",33597773,1666295027927248898,213167996,"https://pbs.twimg.com/profile_images/1192523557890211840/Qj70EwxW_normal.jpg",23989,403,695,"2010-11-07 23:34:06","I\'m simple boy | I love Arsenal  Ig: sar90.official/sar90official.reborn Yt: Septian Arief Revolution       SAR 90 Official","","",
4,1666483220723138560,"https://twitter.com/romdhananas/statuses/1666483220723138560","https://twitter.com/romdhananas/statuses/1666483220723138560","romdhananas","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 12:32:16","Twitter for Android",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,1888086025,"https://pbs.twimg.com/profile_images/939347025228787714/15XKHiG8_normal.jpg",26805,489,215,"2013-09-20 18:41:40","Hamba Allah, Manusia Biasa yg Banyak Kekurangan","INDONESIA","",
5,1666482819785453569,"https://twitter.com/DianDiol/statuses/1666482819785453569","https://twitter.com/DianDiol/statuses/1666482819785453569","DianDiol","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 12:30:40","Twitter for Android",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,60872594,"https://pbs.twimg.com/profile_images/1569159144493694976/tLo9OZPU_normal.jpg",14290,472,659,"2009-07-28 06:51:35","Perempuan Indonesia. Sagitarius. Macan. Penikmat kopi.","Jakarta","",
6,1666481849093492736,"https://twitter.com/surodilagan/statuses/1666481849093492736","https://twitter.com/surodilagan/statuses/1666481849093492736","surodilagan","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 12:26:49","Twitter Web App",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,23272156,"https://pbs.twimg.com/profile_images/1581433823728136192/UKFN9oHw_normal.jpg",77274,2302,2056,"2009-03-07 22:41:20","Mewakafkan diri memaki² buzzeRp agar kekesalan akun² riel thd buzzeRp bisa terlampiaskan. Autofolbek, kec Gembok, Porno, LGBT. Anti ngeblok kec thd akun dungu.","Indonesia","",
7,1666476661901258752,"https://twitter.com/twpuyang/statuses/1666476661901258752","https://twitter.com/twpuyang/statuses/1666476661901258752","twpuyang","RT @AB_1_X_R: Skor 1/10, malah yg digenjot RUU Nakes, nyoh target dikejar @KemenkesRI @BudiGSadikin @drpriono1 cc @PBIDI @DPP_PPNI @Profeso…","Skor 1/10, malah yg digenjot RUU Nakes, nyoh target dikejar @KemenkesRI @BudiGSadikin @drpriono1 cc @PBIDI @DPP_PPNI @ProfesorZubairi @DrEvaChaniago @nirwan_anestesi  Bappenas: 9 dari 10 Target Kesehatan Era Jokowi Potensi Meleset https://t.co/UeNWpAFlXO via @KATADATAcoid","2023-06-07 12:06:12","Twitter for Android",0,12,"in","","retweet","",0,0,"AB_1_X_R",2899116079,1666089828876951552,2617488794,"https://pbs.twimg.com/profile_images/844481660796071936/7HsjGsC4_normal.jpg",14547,500,220,"2014-07-11 10:44:19","- Duduk sama rendah, Berdiri kalah tinggi.  - Malu bertanya tidak bisa menjawab, Banyak bertanya bodoh!.  - Berkata nyata tidak setengah nyata atau berarti dua.","Jakarta Timur, DKI Jakarta","",
8,1666475055046615040,"https://twitter.com/ferrykoto/statuses/1666475055046615040","https://twitter.com/ferrykoto/statuses/1666475055046615040","ferrykoto","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 11:59:49","Twitter for Android",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,24893875,"https://pbs.twimg.com/profile_images/1642519999003901953/vxLslPUC_normal.jpg",70327,595,41719,"2009-03-17 11:01:28","","Kota Surabaya, Jawa Timur","",
9,1666474019389063169,"https://twitter.com/wellymarade7/statuses/1666474019389063169","https://twitter.com/wellymarade7/statuses/1666474019389063169","wellymarade7","RT @muhammadiyah: Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga meny…","Ketua PP Muhammadiyah, Busyro Muqoddas menyebut RUU Kesehatan bukan hanya menyangkut organisasi profesi, tetapi juga menyangkut industrialisasi bidang kesehatan, yang seharusnya menjadi kategori hak asasi manusia.  https://t.co/a8z0RBVwP1  #Muhammadiyah #RUUKesehatan #HAM","2023-06-07 11:55:42","Twitter for iPhone",0,34,"in","","retweet","",0,0,"muhammadiyah",73309923,1666351870443679745,2741057029,"https://pbs.twimg.com/profile_images/1417477963138883589/iiQXRvrv_normal.jpg",14574,1838,141,"2014-08-17 22:21:37","Anak kesayangan orang tua","surabaya","",
10,1666473826564308993,"https://twitter.com/adhaakbary/statuses/1666473826564308993","https://twitter.com/adhaakbary/statuses/1666473826564308993","adhaakbary","RT @FannyAulia: @nirwan_anestesi Tolong dong, masa kalian juga ga pingin sih dokter semakin banyak jadi semakin mudah akses kesehatan ke de…","@nirwan_anestesi Tolong dong, masa kalian juga ga pingin sih dokter semakin banyak jadi semakin mudah akses kesehatan ke desa desa dan pelosok. #RUUKesehatanituBaik #ManfaatRUUKesehatan @dokteradib @pbidi https://t.co/lQ3t5AlyZP","2023-06-07 11:54:56","Twitter for Android",0,2,"in","","retweet","",0,0,"FannyAulia",84856218,1665668434678644741,947290915,"https://pbs.twimg.com/profile_images/1649041138689671168/g7psc9uY_normal.jpg",52,102,82,"2012-11-14 02:52:00","Simple person . love Allah and My family ♥ . Always be the best for my family . ☺","","",
